,title,price_VND,location,area_m2,number_of_bedrooms
261,CĂN 1PN+ 47M2 TẠI VINHOMES Q9 RẺ HƠN GIÁ GỐC 100TR,1700000000,9,47.0,1
262,Kẹt Tài chính cần chuyển nhượng gấp!!,1400000000,2,25.0,1
263,Bán gấp căn hộ 3PN Sunrise city nhà đẹp,5300000000,7,125.0,3
264,Cần bán chung cư Phúc Yên 90m2 full nội thất,2800000000,Tân Bình,90.0,2
265,CẦN BÁN FULL CĂN HỘ 1PN THE SUN AVENUE 2.9 TỶ Q2,2900000000,2,58.0,1
266,Chính chủ gửi bán một số căn hộ Citrine -TĐ House,2150000000,9,72.0,2
267,"BÁN NHANH CĂN HỘ 1PN 51M2, THE SUN AVENUE, 2,3TỶ",2300000000,2,51.0,1
268,CẦN BÁN 2 PN THE SUN AVENUE Q2 FULL NT TP THỦ ĐỨC,3300000000,2,57.0,2
269,"SANG NHƯỢNG T7/2021 PRECIA Q2. CĂN ĐẸP, GIA TỐT",2607000000,2,49.0,1
270,"Căn hộ 2PN Orchid Park 76m2 giá 1,750 tỷ đã có sổ",1750000000,Nhà Bè,76.0,2
271,"Chỉ 2780tr, sở hữu cc 65m trung tâm Phú Nhuận",2780000000,Phú Nhuận,65.0,2
272,Chỉ 700triệu sở hữu căn hộ trung tâm Tây Sài Gòn,2100000000,Bình Chánh,59.0,2
273,Bán căn hộ Idico tầng thấp 2ty370 chính chủ,2370000000,Tân Phú,64.0,2
274,MỞ BÁN ĐỢT MỘT CĂN HỘ CAO CẤP TẠI KHU NAM SÀI GÒN,2600000000,Nhà Bè,50.0,1
275,BÁN 3PN GÓC 4.330 TỶ THE SUN AVENUE Q2 TP THU DUC,4350000000,2,90.0,3
276,Bán căn hộ dự án New City Thủ Thiêm Block Hawai2,4900000000,2,60.78,2
277,Chung cư Celadon City 83m² 3PN 2WC Ở ngay,3260000000,Tân Phú,83.0,3
278,SĂN NHÀ GIÁ RẺ MÙA DỊCH CENTUM WEALTH THÁNG 6,2100000000,9,77.0,3
279,Bán chung cư,1750000000,Gò Vấp,52.0,2
280,"CHÍNH CHỦ BÁN 2 CĂN HỘ VINHOMES Q9, 1PN. 46m2",1545000000,9,46.0,1
281,Chung cư Central q8 3PN giá TỐT trực tiếp từ CĐT,4415642000000000,8,84.4,3
282,Chung cư Cống quỳnh Q1 56m² 2 PN,2600000000,1,56.0,2
283,"Căn hộ Golview Q4, view siêu đẹp, 80m2 giá 4,3 tỷ",4300000000,4,80.0,2
284,"Chung cư Saigon Riverside Complex Q7 53m² 2PN 1,9",1950000000,7,53.0,2
285,Cần Bán căn hộ ở Trung Tâm Quận Bình Thạnh,300000000,Bình Thạnh,35.0,1
286,City Garden 117m2 2PN lầu cao view hồ bơi giá tốt,7500000000,Bình Thạnh,117.0,2
287,"Căn hộ 2PN, 76m2, FULL NỘI THẤT",3780000000,7,76.0,2
288,"Cần bán Shophouse dự án Q7 Bouevard,139m,giá tốt.",12000000000,7,174.0,3
289,"Him Lam Phu An, full nội thất, View Đông Nam",2600000000,9,69.0,2
290,CĂN HỘ 2PN FULL NỘI THẤT VIEW ĐẸP,3900000000,7,76.0,2
291,"BÁN GẤP CĂN GÓC THE ART GIA HÒA FULL NT, VIEW ĐẸP.",3000000000,9,70.0,2
292,Bán 2PN 1WC Full NT 2.5 tỷ. Căn Hộ Richstar,2500000000,Tân Phú,55.0,2
293,BÁN NHANH CH THE ART TẶNG NGAY NT CÒN RẤT MỚI.,2350000000,9,66.0,2
294,Sunrise CityView 99m² 3 PN full như hình,5250000000,7,99.0,3
295,"Chính chủ cần bán căn hộ Q7 BOULEVARD, Phú Mỹ Hưng",321139000000000,7,70.58,2
296,Chung cư The Flemington 111m² 3PN,6050000000,11,111.0,3
297,"""CHÍNH CHỦ"" CĂN HỘ 78M2 - GIÁ RẺ HƠN CĐT 170 TRIỆU",2700000000,12,79.0,2
298,2PN - FULL NỘI THẤT NHÀ ĐẸP,3650000000,7,65.0,2
299,Chung cư Quận 8 50m² 2PN,1480000000,8,50.0,2
300,Officetel Sunrise CityView 48m² 1 PN,2400000000,7,48.0,1
301,Căn hộ 3PN 94m2 Q.Tân Bình,42000000,Phú Nhuận,94.0,3
302,Officetel Quận 7 38m² 1 PN,1700000000,7,38.0,1
303,Duplex Celadon City 100m² 4PN,3950000000,Tân Phú,100.0,4
304,Chung cư Bình Tân gần siêu thị Aon,2850000000,Bình Tân,71.0,2
305,"Mới có sổ 75m² 2PN, tặng nội thất, vay đến 1.2 tỷ",1780000000,Nhà Bè,75.0,2
306,OFFICETEL 1PN BÁN CÓ SẴN HĐ THUÊ,1950000000,7,38.0,1
307,🍀Vinhome đã lập mặt bằng giá mới khi có sổ,1930000000,9,47.0,1
308,Chung cư Gò Dầu 2 58.6m² 2PN Sổ Hồng lâu dài,1750000000,Tân Phú,58.6,2
309,Căn hộ Masteri Centre Point phong cách 5 sao SG,4200000000,9,70.0,2
310,Bán căn hộ 2pn full nội thất CC Gia Hoà PLB Q9,2350000000,9,66.0,2
311,"Căn góc 1,8 tỷ (bao hết) có thương lượng - SHR",1800000000,Nhà Bè,75.0,2
312,"Thật 100%, căn hộ 42m2 Saigon Mia, giá chỉ 1,8 Tỷ",1800000000,Bình Chánh,42.0,1
313,Officetel Quận 7 38m² 1 PN full có sẵn HĐ thuê,1750000000,7,38.0,1
314,"Cần chốt căn 1PN Ehome 3, giá 1.39 tỷ nhà trống",1390000000,Bình Tân,50.0,1
315,Chính chủ bán gấp căn 2pn giá 2ty25 bao thuế phí,2250000000,7,66.0,2
316,Bán gấp căn 2pn Đầy đủ nội thất Bank hỗ trợ 1 tỷ,1650000000,12,58.0,2
317,"Căn hộ The Art Gia Hoà, 2 phòng ngủ, 2WC",2370000000,9,66.0,2
318,"Căn hộ Copac quận 4 90m view sát sông SG, sổ hồng",2950000000,4,90.0,2
319,Bán c.hộ Khu Thương Mại Chợ Lớn F 2 Quận 6 giáp Q5,3800000000,6,90.0,3
320,khách kẹt tiền do dịch bán lỗ căn 1pn giá 1ty8,1800000000,7,53.0,1
321,Bán Gấp Căn Có Sổ 2pn giá 1ty7 Bank hỗ trợ 1 tỷ,1700000000,12,58.0,2
322,Gia đình chuyển nơi ở nên bán 54m2 Full nội thất,2000000000,9,55.0,2
323,"Căn Hộ Cần Bán 71m2 Celadon City 2PN, 2WC GIÁ TỐT.",3350000000,Tân Phú,71.0,2
324,I - Park An Sương 900 Triệu Sở Hữu Ngay Hôm Nay.,2600000000,12,78.0,2
325,Bán GẤP căn hộ New City Q.2 view Q1 + view Vinhome,4750000000,2,75.0,2
326,Giỏ hàng độc quyền 121m2 từ Nam Long CK ngay 5%,3600000000,Bình Tân,121.0,3
327,Bán căn hộ Dream Home Q.8 bàn giao nhà hoàn thiện,1500000000,8,56.0,2
328,"Bán căn hộ IDICO Tân Phú, 64m2 2PN Full nội thất",2350000000,Tân Phú,64.0,2
329,"Căn hộ Akari City chuẩn bị giao nhà,hướng Nam mát",2100000000,Bình Tân,56.0,2
330,Gấp Cần bán chcc vinhomes grand park 2.040 tỷ 2pn,204000000,9,59.0,2
331,Căn Hộ Cao Cấp Giá Rẻ Q.8,2200000000,8,63.0,2
332,"Bán căn 50m2, 2 phòng ngủ, khu đô thị Mizuki Park",1690000000,Bình Chánh,50.0,2
334,"Chính Chủ Bán Căn Hộ 3PN, 2WC, MT Nguyễn Văn Quá",1780000000,12,80.0,3
335,Rổ hàng tháng 7 GIÁ TỐT - Central Premium Quận 8,1900000000,8,36.0,1
336,Còn 1 căn Hướng Nam 75m2 lầu đep giá đẹp để đầu tư,2620000000,Bình Tân,75.0,2
337,Chính chủ bán căn 50m2 2PN 2WC,1500000000,Bình Chánh,50.0,2
338,( Hàng Hiếm ) Bán căn chung cư 3PN richstar 3.450T,3450000000,Tân Phú,86.0,3
339,"💰Bán gấp căn hộ Quang Thái 2PN giá rẻ, có sổ hồng",1950000000,Tân Phú,63.0,2
340,Cần Tiền Bán Căn 2PN 70m² Saigonhomes View HL2,1850000000,Bình Tân,70.0,2
341,"Chính chủ cần bán căn CitiAto, 2pn 2wc, giá gốc",1690000000,2,55.0,2
342,"Bán căn hộ Emerald 71 m2-nhà mới, có nội thất",3150000000,Tân Phú,71.0,2
343,Chung cư The Mansion 83m² 2PN 2WC- Có SHR,1900000000,Bình Chánh,83.0,2
344,Gia đình cần bán 84m2 rộng nhất 2pn phù hợp để ở.,2875000000,Bình Tân,84.0,2
345,Chung cư Lovera Vista 65m² 2PN,2100000000,Bình Chánh,65.0,2
346,Kinh Doanh trọ Vốn 250 triệu - thu nhập 6Tr/ thang,250000000,2,1000.0,1
347,Căn hộ Sunrise riverside Novaland 70m2 view sông,2900000000,Nhà Bè,70.0,2
348,"Bán căn Akari City 2PN, 75M2 ,Võ Văn Kiệt kế Q5",259000000,Bình Tân,75.0,2
349,✅Cần bán chung cư DƯỚI 2 tỷ giá tốt tại Tân Phú,1450000000,Tân Phú,69.0,2
350,CẦN BÁN CHCC EMERALD T.PHÚ CĂN GÓC 74M2 BY WINDOW,3230000000,Tân Phú,74.0,2
351,Còn 1 căn duy nhất 56 giá 2170 View nội khu,2150000000,Bình Tân,56.0,2
352,"Bán căn Lexington, dt 82m2 full NT. Giá 3,7 tỷ",3700000000,2,82.0,2
353,🌐 ĐẦU TƯ NHÀ TRỌ VỚI VỐN 500TR - THU VỀ 12TR/THAG,250000000,2,100.0,1
354,"Giá bán Feliz 1PN: 3.59 tỷ, 2PN: 5.3 tỷ, 3PN: 6.8t",5300000000,2,85.0,2
355,"Bán nhanh CH Akari city 56m2, 2.3 full sang nhượng",2300000000,Bình Tân,56.0,2
356,"Bán căn hộ Richstar 91 m2 -3PN nhà mới, tầng cao",3450000000,Tân Phú,91.0,3
357,Căn hộ Masteri Centre Point 77m2 2PN TP Thủ Đức,50000000,9,77.0,2
358,"Căn hộ MT QL13, TT 20% nhận nhà, giá chỉ 27TR/M2",540000000,Thủ Đức,67.0,2
359,GIÁ CỰC TỐT Bán căn hộ tầng cao Millennium quận 4,3800000000,4,56.0,1
360,Bán căn A6.6.08 Diamond Alnata Plus Celadon City,5185000000,Tân Phú,88.8,2
361,CẦN BÁN CĂN PALM 2PN 85M2- CĂN GÓC- FULL NT 4.6 TỶ,4600000000,2,85.0,2
362,Căn hộ WEST-GATE - đã có GPXD - giá ưu đãi,2100000000,Bình Chánh,59.0,2
363,"Căn hộ belleza phú mỹ quận 7, 2pn, 80m, sổ hồng",2500000000,7,80.0,2
364,HÀNG THẬT 100%: 2PN view Đông Nam Cực mát chỉ 2ty3,2300000000,Nhà Bè,100.0,2
365,Bán Căn hộ cao cấp Sapphire 2 - SaiGon Pearl,5350000000,Bình Thạnh,92.0,2
366,"Kẹt tiền bán căn hộ Akari 75m2, 2pn,2wc, giá tốt",2650000000,Bình Tân,75.0,2
367,Chính chủ cần bán gấp căn 2PN tầng 10 full nt,5590000000,2,57.6,2
368,MUA CĂN HỘ GIÁ GỐC CĐT TT Q2. QUÀ TẶNG 370 TRIỆU.,1800000000,2,101.0,3
369,CHÍNH CHỦ BÁN CĂN HỘ 50M2 GIÁ 1TY42 BAO THUẾ PHÍ,1420000000,Bình Chánh,50.0,2
370,"Không đủ khả năng trả lãi ngân hàng, cần bán gấp c",3000000000,9,70.0,2
371,"CĂN HỘ NHẬT SHR VIEW BIỂN, TT 280TR NHẬN NHÀ.",280000000,1,45.0,1
372,Chính chủ bán căn 96m2 Diamond brilliant Celadon,4900000000,Tân Phú,96.0,2
373,"Căn hộ chung cư An Sương, F.Tân Hưng Thuận, Q.12",1399000000,12,52.0,1
374,"Sắp bán căn hộ Celesta Height, căn nhỏ, view đẹp",55000000,Nhà Bè,50.0,2
375,"BÁN NHANH CĂN 2PN VIEW ĐẦM SEN 2,5 TỶ BAO HẾT",2400000000,Tân Phú,66.0,2
376,Chung cư TaniBuilding Sơn Kỳ 1 64m² 2PN SHR,2000000000,Tân Phú,64.0,2
377,Shophouse vị trí đẹp tại Diamond Riverside Q.8,7500000000,8,165.0,2
378,Duplex Emerald 127m² 3PN 3WC Ban công rộng Giá Tốt,4550000000,Tân Phú,127.0,3
379,BÁN GẤP CH HIM LAM PHÚ AN FULL NT GIÁ 2.9 TỶ.,2900000000,9,70.0,2
380,"Bán căn hộ Mizuki mp6.7.8, 0% Ls, chỉ cần 340tr",3300000000,Bình Chánh,78.0,2
381,Siêu phẩm Celesta heights 10 suất nội bộ từ CĐT,2300000000,Nhà Bè,50.0,1
382,Bán căn hộ Prosper 1ty750,1900000000,12,50.0,2
383,BÁN GẤP CĂN HỘ CAO CẤP TRONG KHU PHÚ MỸ HƯNG Q7,2100000000,7,57.0,2
384,"Sky Center Phổ Quang, 36m2 1.8 tỷ, 42m2 2.1tỷ,",1800000000,Tân Bình,36.0,1
385,Căn hộ Q7 SÀi Gòn Riverside Complex 54m² 1PN,1950000000,7,54.0,1
386,Căn hộ The Botanica 57m² 2PN,3320000000,Tân Bình,57.0,2
387,Hãy quyết định mua nha ngay trong khi chỉ có 600tr,2000000000,12,49.0,1
388,bán gấp căn hộ hưng ngân- 1pn-1wc-50 mét,1400000000,12,50.0,1
389,Căn Hộ 55m2 TT 280tr Nhận Nhà. Trã góp 20 Năm,1400000000,Thủ Đức,55.0,2
390,Căn hộ Masteri Centre Point 70m2 2PN chỉ 0 đồng,39000000,9,70.0,2
391,"Cần bán Scenic Valley 2 ,72m2, 2 PN ,Phú Mỹ Hưng",3799000000,7,72.0,2
392,"3PN ALNATA VIEW ĐÔNG BẮC MÁT MẺ, KO CÓ GIÁ TỐT HƠN",5770000000,Tân Phú,117.0,3
393,Chung cư KDC Vĩnh Lộc D'Gold 38m² 1PN,760000000,Bình Chánh,38.0,1
394,"Căn hộ cao cấp Q7 3 mặt view sông 2PN giá 2,3 tỷ",2300000000,7,66.66,2
395,"BÁN DUPLEX PHÚ, 160M2 NHÀ DECOR VIEW THOÁNG 3TỶ5",35000000,Nhà Bè,160.0,2
396,Chung cư Dự Án Vinhomes Grand Park Quận 9,50000000,9,30.0,1
397,"BÁN GẤP 2PHÒNG 88M2,GIÁ:2TỶ450,VIEW THOÁNG MÁT",2450000000,Nhà Bè,88.0,2
398,"BÁN DUPLEX PHA,GIÁ 4TỶ3,NHÀ DECOR HIỆN ĐẠI",4300000000,Nhà Bè,240.0,4
399,Suất nội bộ 2Pn 71m2 giá gốc CĐT nhận nhà ngay T7,337000000,6,71.14,2
400,Căn hộ Saigon Asiana 65m² 2PN Giá gốc CĐT 3.1 tỷ,3100000000,6,65.0,2
401,Chính chủ cần bán gấp căn hộ 2pn chung cư Bàu Cát,2500000000,Tân Bình,68.0,2
402,Căn hộ Q7 Boulevard 2PN 69.7m2 ký trực tiếp CĐT,3167865000000000,7,69.7,2
403,🍓Lo lắng vì giá sắt thép tăng nên đổi gấp,2300000000,9,63.0,1
404,Căn góc đẹp homyland3,6500000000,2,99.0,3
405,"KẸT TIỀN BÁN LỖ 100TR  CĂN HỘ LUMIE RIVERS,TẦNG 27",5400000000,2,52.0,1
406,Bán căn hộ 73m2 chung cư  21/12 Lê Trực,3700000000,Bình Thạnh,73.0,2
407,"BÁN CĂN HỘ THỦ ĐỨC 68M2 CHỈ 1,5 TỶ",1500000000,Thủ Đức,68.0,2
408,Căn Hộ 2PN West Gate chỉ 15% Tặng 10-15 vàng,2050000000,Bình Chánh,60.0,2
409,"Bán Gấp Căn 1PN 48m2 Saigonhome Bình Tân, View HL",1480000000,Bình Tân,48.0,1
410,Căn hộ Saigonres Plaza 71m² 2PN full nội thất lô A,3000000000,Bình Thạnh,71.0,2
411,"Jamona Heights 1PN 2PN 3PN - 2 tỷ,Cam Kết Giá tốt",2150000000,7,76.0,2
412,"Căn 56m2, 2PN Akari City Võ Văn Kiệt, Kiểu Nhật",2250000000,Bình Tân,56.0,2
413,CH.Richstar 65m2 View đầm sen - giá tốt mùa dịch,3050000000,Tân Phú,65.0,2
414,Căn hộ mặt tiền Nguyễn Văn Linh 660 triệu,660000000,Bình Chánh,59.0,2
415,"BÁN CĂN HỘ VỪA NHẬN NHÀ THÁNG 7, 69M2, 2PN. 2WC",2754642000000000,Bình Chánh,69.0,2
416,Bán căn hộ Oriental Plaza - 3PN 106m2 view nội khu,3500000000,Tân Phú,106.0,3
417,"Bán căn hộ 2PN 72m2 chung cư Green River P6, Q8",1900000000,8,72.0,2
418,Chung cư cao ốc H2-Hoàng Diệu Q4 1PN,2500000000,4,41.0,1
419,"TÌM CHỦ MỚI CĂN HỘ 62M2, 2PN, 2WC  SẮP NHẬN NHÀ Q8",1700000000,8,62.0,2
420,Bán căn hộ cao cấp 2PN tại chung cư Citizen - BC,2750000000,Bình Chánh,83.0,2
421,Chung cư 2PN full Nội Thất Đợt 1 375tr góp tiến độ,750000000,8,59.0,2
422,"Bán căn hộ CC City Gate P16,Q8 - Căn góc",2350000000,8,73.0,2
423,Bán căn hộ LOVERA VISTA,2800000000,Bình Chánh,82.0,3
424,Chung cư Quận Phú Nhuận 70m² 2 PN 1WC,3350000000,Phú Nhuận,70.0,2
425,"Căn Hộ hàng hiệu Marriott, Grand Marina Saigon",22000000000,1,63.0,1
426,Căn hộ Chung cư safira Khang điền 50m2 đã ra sổ,2150000000,9,50.0,1
427,CH Dream Home 62m2 giá chênh lệch thấp,1600000000,8,62.0,2
428,CHÍNH CHỦ Cần Bán căn 1pn+1 VHGP sát giá gốc,2100000000,9,46.0,1
429,"Cho thuê Carillon 7 77m2, Full nội thất, giá 11tr",11000000,Tân Phú,77.0,2
430,0-700tr sở hữu Căn Hộ Masteri Centre Point Q9,3200000000,9,50.0,2
431,Saigon Riverside Complex Q7 - 1PN - 40tr/m2,1400000000,7,53.2,1
432,Chính chủ kẹt tiền bán gấp căn 2PN Q7 SaigonRiver,2300000000,7,67.0,2
434,CHUNG CƯ A4 PHAN XÍCH LONG  41m2,2150000000,Phú Nhuận,41.0,1
435,"Căn hộ sân tennis trên cao, trung tâm Tây Sài Gòn",980000000,Bình Chánh,85.0,3
436,Lavita Charm - 3PN - 42tr/m2,3850000000,Thủ Đức,90.0,3
437,"Căn hộ 2PN View biển,hướng ĐN trả chậm 3 năm",7400000000,Tân Phú,96.0,2
438,Chung cư 8x Đầm Sen 47m² 1 PN,1380000000,Tân Phú,47.0,1
439,Q7 Boulevard - 2PN - 43tr/m2 - T/T 75% nhận nhà,2990000000,7,69.5,2
440,Căn hộ 2PN 71m2 Full nội thất block A view đẹp,3000000000,Bình Thạnh,71.0,2
441,Căn hộ Saigonres Plaza 77m² 2PN full nội thất,3200000000,Bình Thạnh,77.0,2
442,Chính chủ kẹt bán nhanh căn hộ 2PN 60m2 topaz Q9,1713000000,9,60.0,2
443,Chung cư Quận 12 65m² 2PN,1600000000,12,65.0,2
444,"nhà hẻm thoáng mát, cách đường lớn 7m, gần chợ",2500000000,8,39.0,2
445,Căn hộ cao cấp - Ưu đãi chưa từng có,2360000000,Bình Chánh,59.0,2
446,"Căn 3pn full nội thất cao cấp,giá tốt hiện tại",3400000000,7,95.0,3
447,600TR sở hữu Căn hộ Quận 9 Nhận nhà Tháng 6,1950000000,9,58.0,1
448,"Căn hộ ở ngay Q9 Him Lam Phú An 2PN-2WC 69m2, 2ty9",2900000000,9,69.0,2
449,Chung cư PICITY HIGH PARK 57m2 2pn1wc,2100000000,12,57.0,2
450,Căn hộ 59m² 4 mặt tiền đường khu Tây,2300000000,Bình Chánh,59.0,2
451,Chung cư Vinhomes Quận 9) Studio 30m² Giá tốt,1280000000,9,30.0,1
452,Chung cư Mặt tiền Nguyễn Văn Linh,2800000000,Bình Chánh,70.0,2
453,Tài chính bé có ngay hộ khẩu Bến Nghé,2900000000,1,12.0,1
454,Căn 3PN - Emerald Celadon City - full NT view Đẹp,4700000000,Tân Phú,104.5,3
455,Chung cư WESTGATE 70m² 2 PN,840000000,Bình Chánh,70.0,2
456,"Tô Ký Tower Q12, nhà mới có sổ, 51 - 75m2 1Ty700",1700000000,12,51.0,2
457,"Chuyên trách bán Jamona Heights , Giá tốt và đẹp",2650000000,7,75.0,2
458,Chung cư Dream Home Residence 53m² 2PN,1900000000,Gò Vấp,53.0,2
459,"Căn hộ TP. Thủ Đức Dt 65m2 giá 2,9 tỷ nhận ở ngay",2900000000,Thủ Đức,65.0,2
460,"NGỘP COVID: Căn 3PN- Vị trí đẹp - Full Nội THất,",3630000000,Tân Phú,92.0,3
461,Chính chủ bán nhanh căn Duplex shophouse 2 tầng,3800000000,9,112.0,3
462,"Căn hô cao cấp Saigonhomes - Bình Tân, 70m2, 2PN",1970000000,Bình Tân,70.0,2
463,Duplex 4Pn 152m Emerald View Hồ Sinh Thái Đông Nam,6400000000,Tân Phú,152.0,4
464,"Căn hộ Bellaza, 80m, 2pn, 2wc. Đã có sổ| Giá 2ty5.",2500000000,7,80.0,2
465,"Căn góc 2 PN - DT lớn  Nhà trống, View Công Viên",3900000000,Tân Phú,86.3,2
466,T T 200tr miễn lãi suất 0% 18th cơ hội đầu tư FO,1100000000,Thủ Đức,47.0,2
467,CHCC Lavita Charm ngã 4 Bình Thái chỉ 2tỷ930 68m2,2930000000,Thủ Đức,68.0,2
468,Bán nhanh căn hộ 83m² 2PN SADORA (Thủ Thiêm),6200000000,2,83.0,2
469,"Chung cư Quận Bình Tân 75m² 2PN, Căn Hộ kiểu Nhật",26000000,Bình Tân,75.0,2
470,"Căn hộ Richstar Novaland, 53m2, 2PN - 2.450 tỷ BH",2400000000,Tân Phú,53.0,2
471,Cần bán chung cư Sunrise Central 2pn 76m2 3.6X tỷ,3690000000,7,76.0,2
472,"Căn hộ Lavida Plus 75m² view sông giá 2,850 tỷ",2850000000,7,75.0,2
473,Cần bán nhanh căn hộ sunrise city 2pn view đông,3800000000,7,76.0,2
474,Cơ hội an cư với căn hộ Dream Home Quận 8 giá tốt,1500000000,8,56.0,2
475,Căn hộ Diamond Riverside - City Gate 2 và Gate 3,1970000000,8,72.0,2
476,Căn Hộ HT PEARL Gần Metro Số 1 2PN ChỉTừ 540 Triệu,1800000000,Thủ Đức,55.62,2
477,cần bán căn hộ tara residence trung tâm q8 28tr/m2,2650000000,8,90.0,3
478,Chung cư Botanica Premier 35m² 1 PN GIÁ TỐT,2200000000,Tân Bình,35.0,1
479,Ket tiền bán gấp 2PN view hồ bơi giá 1.78 tỷ !,1780000000,Nhà Bè,58.0,2
480,Dự án căn hộ City Gate 5 giá hơn 1 tỷ,1650000000,8,55.0,2
481,Condo Villa-Chuẩn mực sống vương giả tại Sài gòn,25000000000,Tân Phú,300.0,2
482,Cần bán Prosper Plaza sổ hồng DT65m2 giá 2.15 tỷ,2150000000,12,65.0,2
483,Chung cư 61m² 2PN 2wc Thủ Đức Hỗ trợ vay 70%,1690000000,Thủ Đức,61.0,2
484,bán căn hộ ThePegaSuite 69m 2PN 2W nhà trống,2600000000,8,69.0,2
485,Chung cư Lavita Charm 51m² 1PN dạng officetel,1600000000,Thủ Đức,51.0,1
486,C/khấu ngay 370 TRIỆU khi mua c/Hộ Precia 3PN Q.2,5970000000,2,101.0,3
487,"Bán căn 1PN, 50 tiện ích nội khu, tầng trung, đẹp",1900000000,7,53.0,1
488,bán căn hộ tara residence 68m 2pn 2wc nhà mới,2100000000,8,68.0,2
489,"Bán Căn hộ D'Lusso Q2 chênh thấp, 3.64 tỷ 2PN 69m2",3640000000,2,68.0,2
490,Căn Hộ Cạnh Aeon Mall Bình Tân 45m2 -1PN,1150000000,Bình Tân,45.0,1
491,DA Thảo Điền Green,80000000,2,89.0,1
492,Căn hộ Quận 12 57m² 2PN,2400000000,12,57.0,2
493,CITRINE QUẬN 9 GIÁ TỐT 2PN-2.1TỈ BAO PHÍ NHÀ MỚI,2000000000,9,68.0,2
494,Căn Hộ Resort PI CITY thanh toán 720tr(30%) sở hữu,2400000000,12,57.0,2
495,Căn hộ Diamond Riverside - City Gate 2 và Gate 3,1970000000,8,72.0,2
496,Căn Hộ HT PEARL Gần Metro Số 1 2PN ChỉTừ 540 Triệu,1800000000,Thủ Đức,55.62,2
497,cần bán căn hộ tara residence trung tâm q8 28tr/m2,2650000000,8,90.0,3
498,Chung cư Botanica Premier 35m² 1 PN GIÁ TỐT,2200000000,Tân Bình,35.0,1
499,Ket tiền bán gấp 2PN view hồ bơi giá 1.78 tỷ !,1780000000,Nhà Bè,58.0,2
500,Dự án căn hộ City Gate 5 giá hơn 1 tỷ,1650000000,8,55.0,2
501,Condo Villa-Chuẩn mực sống vương giả tại Sài gòn,25000000000,Tân Phú,300.0,2
502,Cần bán Prosper Plaza sổ hồng DT65m2 giá 2.15 tỷ,2150000000,12,65.0,2
503,Chung cư 61m² 2PN 2wc Thủ Đức Hỗ trợ vay 70%,1690000000,Thủ Đức,61.0,2
504,bán căn hộ ThePegaSuite 69m 2PN 2W nhà trống,2600000000,8,69.0,2
505,Chung cư Lavita Charm 51m² 1PN dạng officetel,1600000000,Thủ Đức,51.0,1
506,C/khấu ngay 370 TRIỆU khi mua c/Hộ Precia 3PN Q.2,5970000000,2,101.0,3
507,"Bán căn 1PN, 50 tiện ích nội khu, tầng trung, đẹp",1900000000,7,53.0,1
508,bán căn hộ tara residence 68m 2pn 2wc nhà mới,2100000000,8,68.0,2
509,"Bán Căn hộ D'Lusso Q2 chênh thấp, 3.64 tỷ 2PN 69m2",3640000000,2,68.0,2
510,Căn Hộ Cạnh Aeon Mall Bình Tân 45m2 -1PN,1150000000,Bình Tân,45.0,1
511,DA Thảo Điền Green,80000000,2,89.0,1
512,Căn hộ Quận 12 57m² 2PN,2400000000,12,57.0,2
513,CITRINE QUẬN 9 GIÁ TỐT 2PN-2.1TỈ BAO PHÍ NHÀ MỚI,2000000000,9,68.0,2
514,Căn Hộ Resort PI CITY thanh toán 720tr(30%) sở hữu,2400000000,12,57.0,2
515,Căn Hộ Resort PI CITY thanh toán 720tr(30%) sở hữu,2400000000,12,57.0,2
516,Chung cư Phạm Văn Đồng Thành phố Thủ Đức 75m² 2PN,2500000000,Thủ Đức,75.0,2
517,Bán chung cư Prosper Plaza ĐÃ CÓ SỔ HỒNG,2300000000,12,65.0,2
518,"Tặng nội thất - đã có sổ - 75m2 Giá 1,820 tỷ có TL",1820000000,Nhà Bè,75.0,2
519,Chung cư Lotus Sen Hồng ( Violet Tower ) 52m² 2 PN,1600000000,Thủ Đức,52.0,2
520,"Căn hộ 2 phòng ngủ 46m2 chung cư Hà Kiều, Gò Vấp",1850000000,Gò Vấp,46.0,2
521,Chính chủ bán lỗ căn hộ Ecogreen Sài Gòn giá rẻ,3980000000,7,69.96,2
522,I Park An Sương Quận 12 80m2 3 Phòng Ngủ 900 Triệu,2600000000,12,80.0,3
523,"MÌNH CẦN BÁN CHUNG CƯ VIEW PHẠM VĂN ĐỒNG,BÌNHTHANH",2100000000,Bình Thạnh,60.0,3
524,CĂN HỘ 109M2 3 PHÒNG NGỦ - NỘI THẤT NHƯ HÌNH,5700000000,2,109.0,3
525,BÁN CĂN HỘ 2 PHÒNG NGỦ - 56M2 VIEW ĐÔNG NAM ĐẸP,3300000000,2,56.0,2
526,Chung cư Vinhomes Central Park 156m² 4PN,13000000000,Bình Thạnh,156.0,4
527,CHUNG CƯ THANH TOÁN 589TR VÀO Ở. FULL NỘI THẤT ĐỨC,1800000000,Bình Chánh,59.0,2
528,"Giá mùa dịch-bán 2PN Kingdom101-Q10, 73m2, 4.8tỷ",4800000000,10,73.0,2
529,"CHÍNH CHỦ BÁN CĂN HỘ 58.1M2,  GIÁ 1.4TỶ, bao phí",1400000000,9,58.0,2
530,"Căn Hộ 2PN Galaxy 9 65m² 3,65 tỷ, Full NT, Giáp Q1",3650000000,4,65.0,2
